1602805735,0,0,0,0,
1602874412,0,0,0,0,
1602874700,0,0,0,0,
1602875110,0,0,0,0,
1602875839,0,0,0,0,
1602876387,0,0,0,0,
1602876437,0,0,0,0,
1602876622,0,0,0,0,
1602876725,0,0,0,0,
1602877468,0,0,0,0,
1602884296,0,0,0,0,
1602884384,0,0,0,0,
1602884759,0,0,0,0,
1602884821,0,0,0,0,
1602949556,0,0,0,0,
1602949559,0,0,0,0,
1602950116,1,0,0,0,
1602950121,1,0,0,0,
1602950365,1,0,0,0,
1602950469,1,0,0,1,
1602950625,1,0,0,0,
1602950643,1,0,0,0,
1602950673,1,0,0,0,
1602950786,1,0,0,1,
1602951065,1,0,0,0,
1602951078,1,0,0,0,
1602951414,1,0,0,0,
1602951451,1,0,0,0,
1602951504,1,0,0,0,
1602951586,1,1,0,0,
1602952013,1,1,0,0,
1602952252,1,0,0,0,
1602952256,1,0,0,0,
1602952267,1,0,0,0,
1602952285,1,0,0,0,
1602952511,1,0,0,0,
